LinkItemsToUMLSCUIID	ItemPTR	CUI	ItemToUMLSCUILinkTypePTR
6977	1	C0236140	0
3909	1	C0522055	0
11626	1	C0855329	0
9802	4	C0342471	0
18193	4	C4284917	0
4	10	C0000530	0
17339	10	C2932861	0
5	11	C0268297	0
15851	11	C3669122	0
7	16	C0221014	0
15701	16	C3536715	0
8	17	C0000744	0
9	29	C0000786	0
5279	29	C0000809	0
7069	29	C0000814	0
5364	29	C0752351	0
34810	29	C4552766	0
10	40	C0000832	0
11	54	C0265582	0
7257	54	C0685381	0
12576	54	C1405984	0
12	55	C0000879	0
13	58	C0000889	0
14	58	C0392440	0
15	62	C0050393	0
16	64	C0000981	0
9205	64	C0304713	0
17	69	C0001047	0
11200	69	C0887742	0
11746	69	C0772506	0
18	72	C0014848	0
19	80	C0001080	0
14795	80	C2930793	0
20	83	C0152200	0
11688	83	C0302129	0
21	87	C0001122	0
34653	87	C4552820	0
22	92	C0220981	0
23	95	C0001127	0
24	95	C0020440	0
5597	96	C0035466	0
25	96	C0035854	0
26	100	C0027859	0
27	114	C0001206	0
13626	114	C0278864	0
15219	114	C0346302	0
5315	145	C0001252	0
28	145	C0001261	0
29	154	C0600433	0
12176	154	C1861171	0
30	158	C0014059	0
31	171	C0162565	0
14921	171	C2936779	0
32	195	C0023449	0
4484	195	C0751606	0
15116	195	C1961102	0
15587	195	C3542401	0
34	203	C0023467	0
15605	203	C3541370	0
35	218	C0001349	0
36	220	C0001367	0
12912	220	C0282040	0
37	222	C0271737	0
17207	222	C2103602	0
38	243	C0001427	0
40	250	C0341858	0
41	256	C0001443	0
42	260	C0268124	0
9480	260	C0272230	0
17770	260	C0392607	0
43	265	C0001480	0
45	266	C0001483	0
7690	266	C0001486	0
5423	266	C0001487	0
46	273	C0156181	0
47	276	C0001519	0
48	279	C0001618	0
49	288	C0001655	0
50	288	C0010192	0
10230	288	C1523997	0
10890	288	C0592151	0
17870	288	C3818725	0
7577	292	C0162309	0
10711	292	C1527231	0
53	295	C0041755	0
54	307	C0019250	0
17370	307	C2584774	0
55	309	C0001734	0
56	312	C0235971	0
17060	312	C1275870	0
57	313	C0013926	0
10128	315	C1279553	0
11512	315	C0268381	0
59	318	C0001916	0
13261	323	C0304925	0
61	325	C0001962	0
62	325	C0161679	0
63	394	C0002006	0
65	398	C0102118	0
4861	398	C0700482	0
6397	398	C0771311	0
